stop_id,stop_code,stop_name,stop_lat,stop_lon
1800NB01981,MANDJGWM,Crescent Road,53.51287000000,-2.23037900000
1800NB02021,MANDJGWP,North Manchester General Hospital,53.51857460450,-2.23140594273
1800NB02031,MANDJGWT,North Manchester General Hospital,53.51709000000,-2.22887900000
1800NB02041,MANDJMAG,North Manchester General Hospital,53.51531000000,-2.22791900000
1800NB02071,MANDJMAJ,Strangeways,53.49153000000,-2.24813900000
1800NB02141,MANDJMAM,New Elm Road,53.47661000000,-2.26034600000
1800NB02281,MANDJMAT,Crescent Road,53.51279000000,-2.24280500000
1800NB03521,MANDJMDW,St Mary's Parsonage,53.48111000000,-2.24944900000
1800NB03941,MANDJMGA,Hanover Street,53.48522000000,-2.23779400000
1800NB03951,MANDJMGD,Chapel Street,53.48643000000,-2.24471800000
1800NB04001,MANDJMGP,Printworks,53.48532000000,-2.24178800000
1800NB04161,MANDJMJM,Printworks,53.48568000000,-2.24182100000
1800NB04271,MANDJMPM,Angel Street,53.48730000000,-2.23437000000
1800NB04281,MANDJMPT,Hanover Street,53.48587000000,-2.23677300000
1800NB04321,MANDJMPW,Thompson Street,53.48742000000,-2.23366200000
1800NB04401,MANTGAGP,Piercy Street,53.48317000000,-2.21822300000
1800NB04431,MANDJMWD,Victoria Rail Station,53.48716000000,-2.24285400000
1800NB04831,MANDJMWG,Water Street,53.47550000000,-2.26287100000
1800NB04841,MANDJMWJ,Regent Bridge,53.47578000000,-2.26326400000
1800NB05021,MANDJPAG,St Mary's Parsonage,53.48135000000,-2.25163600000
1800NB05081,MANTGDWG,Victoria Rail Station,53.48614175258,-2.24180850404
1800NB05091,MANTGJAW,Hawkeshead Road,53.50116000000,-2.23117500000
1800NB05171,MANTGMAT,North Manchester General Hospital,53.51587000000,-2.22747000000
1800NB05181,MANTGMAW,Harpurhey Road,53.50914000000,-2.21944200000
1800NB05191,MANTGMDA,Irk Bridge,53.51157000000,-2.21968100000
1800NB05201,MANTGMDG,Waterloo Street,53.51213000000,-2.22319700000
1800NB07631,MANDJPAM,Old Hall Lane,53.53801000000,-2.24015800000
1800NB07651,MANDJPAP,Heaton Park Road,53.53664000000,-2.24253400000
1800NB07661,MANDJPAT,Heaton Park Road,53.53645000000,-2.24209500000
1800NB08511,MANDJPAW,Osborne Street,53.49380000000,-2.22483400000
1800NB08521,MANDJPDA,Osborne Street,53.49292434482,-2.22529735990
1800NB08531,MANDJPDG,Livesey Street,53.49145000000,-2.22736900000
1800NB08541,MANDJPDJ,Livesey Street,53.49030000000,-2.22853900000
